adr,title,category,normalized_part_number,descriptions,challenger_variants,charger_variants,challenger_part_numbers,charger_part_numbers,challenger_sources,charger_sources,classification
21/00,Instrument Panel,instrument-panel,1QF13DX9AP,2011 2021 Mopar Instrument Panel Glove Box,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | SRT 392 6.4L,1QF13DX9AP,1QF13DX9AP,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/interior-trim--instrument-panel,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
21/00,Instrument Panel,instrument-panel,68110649AA,Glove Box Door Dampener,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | SRT 392 6.4L,68110649AA,68110649AA,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/interior-trim--instrument-panel,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
21/00,Instrument Panel,instrument-panel,68110650AA,Glove Box Door Latch Striker,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | SRT 392 6.4L,68110650AA,68110650AA,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/interior-trim--instrument-panel,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
25/02,Anti-Theft Lock,instrument-panel,68404422AA,Ignition Switch Trim Ring,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | SRT 392 6.4L,68404422AA,68404422AA,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/interior-trim--instrument-panel,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/interior-trim--instrument-panel | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/interior-trim--instrument-panel,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84DX8AM,2013 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84DX8AM,1MZ84DX8AM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84GW7AM,2020 2021 Dodge Challenger Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84GW7AM,1MZ84GW7AM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84JRYAJ,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84JRYAJ,1MZ84JRYAJ,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84JSCAJ,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84JSCAJ,1MZ84JSCAJ,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84KARAM,2011 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84KARAM,1MZ84KARAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84KBXAM,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84KBXAM,1MZ84KBXAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84LAUAM,2013 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84LAUAM,1MZ84LAUAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84MGMAM,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84MGMAM,1MZ84MGMAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84NRVAM,2014 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84NRVAM,1MZ84NRVAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
42/04,General Safety Requirements,front-door,1MZ84NVPAM,2020 2021 Dodge Challenger Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84NVPAM,1MZ84NVPAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,EXACT DIRECT COMPONENT-KEYWORD MATCH across at least one Challenger and Charger catalog route; not compliance proof
